Date,Open,High,Low,Close,Adj Close,Volume,DMA,Signal,Buy_signal,Sell_signal
2014-09-17,465.864014,468.174011,452.421997,457.334015,457.334015,21056800,0.0,0.0,,
2014-09-18,456.859985,456.859985,413.104004,424.440002,424.440002,34483200,-2.6240238290598654,-0.5248047658119731,,424.440002
2014-09-19,424.102997,427.834991,384.532013,394.79599,394.79599,37919700,-7.014744038960771,-1.8227926204417328,,
2014-09-20,394.673004,423.29599,389.882996,408.903992,408.903992,36863600,-9.2494022314591,-3.3081145426452068,,
2014-09-21,408.084991,412.425995,393.181,398.821014,398.821014,26580100,-11.69913664174743,-4.986318962465651,,
2014-09-22,399.100006,406.915985,397.130005,402.152008,402.152008,24127600,-13.219400414574466,-6.632935252887414,,
2014-09-23,402.09201,441.557007,396.196991,435.790985,435.790985,45099500,-11.576390670611886,-7.621626336432309,,
2014-09-24,435.751007,436.112,421.131989,423.204987,423.204987,30627700,-11.161218880662716,-8.32954484527839,,
2014-09-25,423.156006,423.519989,409.467987,411.574005,411.574005,26814400,-11.63657608362945,-8.990951092948603,,
2014-09-26,411.428986,414.937988,400.009003,404.424988,404.424988,21460800,-12.446688341411061,-9.682098542641095,,
2014-09-27,403.556,406.622986,397.372009,399.519989,399.519989,15029300,-13.330831046608466,-10.41184504343457,,
2014-09-28,399.471008,401.016998,374.332001,377.181,377.181,23613300,-15.653644755277583,-11.460204985803172,,
2014-09-29,376.928009,385.210999,372.23999,375.46701,375.46701,32497700,-17.431852478533756,-12.65453448434929,,
2014-09-30,376.088013,390.97699,373.442993,386.944,386.944,34707300,-17.710838216372224,-13.665795230753877,,
2014-10-01,387.427002,391.378998,380.779999,383.61499,383.61499,26229400,-17.99314592303915,-14.531265369210933,,
2014-10-02,383.988007,385.497009,372.946014,375.071991,375.071991,21777700,-18.690769876432967,-15.363166270655341,,
2014-10-03,375.181,377.695007,357.859009,359.511993,359.511993,30901200,-20.26559452508701,-16.343651921541674,,
2014-10-04,359.891998,364.487,325.885986,328.865997,328.865997,47236500,-23.71317939198019,-17.81755741562938,,
2014-10-05,328.915985,341.800995,289.29599,320.51001,320.51001,83308096,-26.81061744562038,-19.616169421627582,,
2014-10-06,320.389008,345.134003,302.559998,330.07901,330.07901,79011800,-28.168512018180422,-21.326637940938152,,
2014-10-07,330.584015,339.247009,320.481995,336.187012,336.187012,49199900,-28.42413282553457,-22.746136917857434,,
2014-10-08,336.115997,354.364014,327.187988,352.940002,352.940002,54736300,-26.964062941546672,-23.589722122595283,,
2014-10-09,352.747986,382.726013,347.687012,365.026001,365.026001,83641104,-24.54872550034196,-23.781522798144618,,
2014-10-10,364.687012,375.066986,352.963013,361.562012,361.562012,43665700,-22.6529391575138,-23.555806070018456,361.562012,
2014-10-11,361.362,367.19101,355.950989,362.299011,362.299011,13345200,-20.850691371451717,-23.01478313030511,,
2014-10-12,362.605988,379.433014,356.144012,378.549011,378.549011,17552800,-17.90476286246917,-21.99277907673792,,
2014-10-13,377.92099,397.226013,368.897003,390.414001,390.414001,35221400,-14.446161405432008,-20.48345554247674,,
2014-10-14,391.691986,411.697998,391.324005,400.869995,400.869995,38491500,-10.737705911679939,-18.534305616317383,,
2014-10-15,400.954987,402.22699,388.765991,394.77301,394.77301,25267100,-8.196222993080141,-16.466689091669934,,
2014-10-16,394.518005,398.807007,373.070007,382.556,382.556,26990000,-7.08620471790266,-14.59059221691648,,
2014-10-17,382.756012,385.477997,375.389008,383.757996,383.757996,13600700,-6.039892089568184,-12.880452191446821,,
2014-10-18,383.976013,395.15799,378.971008,391.441986,391.441986,11416800,-4.538332940992007,-11.21202834135586,,
2014-10-19,391.253998,393.938995,386.457001,389.54599,389.54599,5914570,-3.461426360871087,-9.661907945258905,,
2014-10-20,389.230988,390.084015,378.252014,382.845001,382.845001,16419000,-3.112801509085557,-8.352086658024236,,
2014-10-21,382.42099,392.645996,380.834015,386.475006,386.475006,14188900,-2.5146158102896834,-7.184592488477326,,
2014-10-22,386.118011,388.575989,382.248993,383.15799,383.15799,11641300,-2.281900475788177,-6.204054085939497,,
2014-10-23,382.962006,385.048004,356.446991,358.416992,358.416992,26456900,-4.047209949032947,-5.7726852585581865,,
2014-10-24,358.591003,364.345001,353.304993,358.345001,358.345001,15585700,-5.389907992754274,-5.696129805397405,,
2014-10-25,358.610992,359.860992,342.877014,347.270996,347.270996,18127500,-7.2638523518778015,-6.009674314693484,,347.270996
2014-10-26,347.487,359.221008,343.931,354.70401,354.70401,11272500,-8.056316446896176,-6.419002741134023,,
2014-10-27,354.777008,358.631989,349.80899,352.989014,352.989014,13033000,-8.72219179829915,-6.879640552567048,,
2014-10-28,353.214996,359.984009,352.678986,357.618011,357.618011,7845880,-8.775226095856567,-7.258757661224953,,
2014-10-29,357.088989,357.833008,335.342987,335.591003,335.591003,18192700,-10.473914846411674,-7.901789098262298,,
2014-10-30,335.709015,350.912994,335.071991,345.304993,345.304993,30177900,-10.91053030799867,-8.503537340209572,,
2014-10-31,345.009003,348.045013,337.141998,338.321014,338.321014,12545400,-11.685397951031234,-9.139909462373906,,
2014-11-01,338.649994,340.528992,321.054993,325.748993,325.748993,16677200,-13.162217318637545,-9.944371033626634,,
2014-11-02,326.075012,329.049988,320.626007,325.891998,325.891998,8603620,-14.157864944897312,-10.78706981588077,,
2014-11-03,325.569,334.002014,325.480988,327.553986,327.553986,12948500,-14.644007319375532,-11.558457316579723,,
2014-11-04,327.161011,331.766998,325.076996,330.492004,330.492004,15655500,-14.623633016537951,-12.17149245657137,,
2014-11-05,330.683014,343.368988,330.683014,339.485992,339.485992,19817200,-13.723550026946839,-12.481903970646465,,
